uid,address,last_modified,title,description,new_page,filename_updated,division,collection,publication,osh,,,,,,,,,,
L0226,http://www.nclabor.com/fatality_factsheets/heat.pdf,"Tue, 23 Dec 2014 02:44:38 GMT",NCDOL Investigates Heat Stress Event,Fact sheet on investigation process on heat stress event,Y,N,OSH ,Publications,Fact Sheets,,,,,,,,,,,
L0227,http://www.nclabor.com/fatality_factsheets/material_handling_equipment.pdf,"Fri, 06 Mar 2015 23:16:41 GMT",NCDOL Investigates Material Handling Equipment,Fact sheet on investigation process for material handling Equipment,Y,N,OSH ,Publications,Fact Sheets,,,,,,,,,,,
L0228,http://www.nclabor.com/fatality_factsheets/overhead_power_lines.pdf,"Mon, 16 Mar 2015 18:09:21 GMT",NCDOL Investigates Overhead Power Lines,Fact sheet on investigation for overhead power lines,Y,N,OSH ,Publications,Fact Sheets,,,,,,,,,,,
L0231,http://www.nclabor.com/fatality_factsheets/struck_by_vehicle.pdf,"Sat, 07 Mar 2015 00:51:29 GMT",NCDOL Investigates Struck By Truck,Fact sheet on investigation process for being struck by a truck,Y,N,OSH ,Publications,Fact Sheets,,,,,,,,,,,
L0232,http://www.nclabor.com/fatality_factsheets/tree_trimming.pdf|http://www.nclabor.com/fatality_factsheets/tree%20trimming.pdf,"Sat, 07 Mar 2015 00:36:34 GMT",NCDOL Investigates Tree Trimming/Logging,Fact sheet on investigation process for tree trimming/logging,Y,N,OSH ,Publications,Fact Sheets,,,,,,,,,,,
L0234,http://www.nclabor.com/fatality_factsheets/trench_collapse.pdf|http://www.nclabor.com/fatality_factsheets/trench%20collapse.pdf,"Sat, 07 Mar 2015 00:34:52 GMT",NCDOL Investigates Trench Collapse,Fact sheet in ivestigation process for trench collapse,Y,N,OSH ,Publications,Fact Sheets,,,,,,,,,,,
L0475,http://www.nclabor.com/osha/etta/brochures/br1050s.pdf,"Wed, 01 Mar 2017 20:44:34 GMT",NCDOL Spanish Brochure,Brochure with an overview on NCDOL in Spanish,N,N,OSH,Publications,Brochures,,,,,,,,,,,
L0478,http://www.nclabor.com/osha/etta/brochures/br1800.pdf,"Wed, 01 Apr 2009 23:10:56 GMT",NCDOL Surveys of the Public Sector Brochure,Brochure with an overview of information for the public sector,N,N,OSH,Publications,Brochures,,,,,,,,,,,
L0050,http://www.nclabor.com/boiler/history/welder_guidelines.pdf,"Mon, 06 Oct 2014 16:14:56 GMT",North Carolina Historic Boiler Welder Qualification,This document provides information to the individual wanting to be qualified as a Welder on Historic Boilers in the state of North Carolina.,Y,N,Boiler,,,,,,,,,,,,,
L0575,http://www.nclabor.com/osha/etta/exampleprograms/State_Agency_Safety_and_Health_Program_Info.doc,"Thu, 10 Jul 2014 21:29:20 GMT",North Carolina State Agency Workplace Requirement Program For Safety and Health,This document contains information on safety and health program requirements for North Carolina state agencies.,N,N,OSH,OSH Example Programs,,,,,,,,,,,,
L0186,http://www.nclabor.com/elevator/Memos/Single_Bottom_Jacks_Addendum.pdf,"Mon, 24 Apr 2017 22:32:55 GMT",Notice - Addendum - Single Bottom Jack Testing Requirements,addendum to single bottom jack notice dated 4/24/17,N,N,Elevator,,,,,,,,,,,,,
L0162,http://www.nclabor.com/elevator/Memos/Elev_Co's_Shunts_9_20_12.pdf,"Wed, 31 Oct 2012 22:11:50 GMT",Notice - Addition of shunts,notice detailing addition of shunts and requirements,N,N,Elevator,,,,,,,,,,,,,
L0190,http://www.nclabor.com/elevator/Memos/SpecialAmusementFee_Amendment.pdf,"Tue, 28 Jun 2016 22:38:56 GMT",Notice - After Hours Amusement Inspection Fees,notice detailing special fees of amusement inspections conducted after hours,N,N,Elevator,,,,,,,,,,,,,
L0149,http://www.nclabor.com/elevator/Memos/Elev_Co_Alternative_Testing.pdf,"Fri, 07 Feb 2014 01:03:05 GMT",Notice - Alternative Testing,notice of ban of alternative testing for elevators,N,N,Elevator,,,,,,,,,,,,,
L0174,http://www.nclabor.com/elevator/Memos/Inspection_Readiness.pdf,"Mon, 29 Aug 2016 21:00:01 GMT",Notice - Amusement Inspection Readiness,readiness requirements for amusement inspections ,N,N,Elevator,,,,,,,,,,,,,
L0138,http://www.nclabor.com/elevator/Memos/ApplicationCodes_11_9_15.pdf,"Mon, 09 Nov 2015 20:39:03 GMT",Notice - Code Editionsfor Elevator pplications,noticeaddressing need for correct code editions on applications,N,N,Elevator,,,,,,,,,,,,,
L0148,http://www.nclabor.com/elevator/Memos/Elev_Co_2014_Inspection_Req_mts.pdf,"Tue, 18 Mar 2014 22:12:26 GMT",Notice - Elevator Inspection Policy,Memo detailing inspection policies,N,N,Elevator,,,,,,,,,,,,,
L0159,http://www.nclabor.com/elevator/Memos/Elev_Co_SumpPumpAlterations.pdf,"Thu, 04 Oct 2012 21:17:50 GMT",Notice - Elevator Modernizations and Sump Pumps,Notice  of requirements for sump pumps during elevator modernations,N,N,Elevator,,,,,,,,,,,,,
L0172,http://www.nclabor.com/elevator/Memos/Go_Kart_Speed.pdf,"Tue, 20 Dec 2011 19:53:56 GMT",Notice - Go Kart Speed,Tachometer and speed requirements of Go Karts in NC,N,N,Elevator,,,,,,,,,,,,,
L0177,http://www.nclabor.com/elevator/Memos/LULAApplicationRequirements_01.06.16.pdf,"Thu, 07 Jan 2016 01:16:18 GMT",Notice - LULA Application Requirments,Application requirements for Limited Use Limited Access (LULA) lifts,N,N,Elevator,,,,,,,,,,,,,
L0179,http://www.nclabor.com/elevator/Memos/MRL_Machine_Rooms.pdf,"Fri, 08 Feb 2013 01:40:30 GMT",Notice - MRL Control Spaces,requirements of MRL control spaces,N,N,Elevator,,,,,,,,,,,,,
L0180,http://www.nclabor.com/elevator/Memos/MRL_memo_021816.pdf,"Thu, 18 Feb 2016 21:02:28 GMT",Notice - MRL Lighting Requirements,requirements of power and lighting regarding MRLs and their control space,N,N,Elevator,,,,,,,,,,,,,
L0182,http://www.nclabor.com/elevator/Memos/Replacement_Oil%20Line_Permit.pdf,"Fri, 28 Sep 2012 20:11:49 GMT",Notice - Oil Line Relacement Permitting,Permitting details of oil line replacements and mufflers,N,N,Elevator,,,,,,,,,,,,,
L0156,http://www.nclabor.com/elevator/Memos/Elev_Co_Permit_Req_electrical_mods.pdf,"Thu, 26 Mar 2015 19:26:21 GMT",Notice - Permit Required for Mods/Fire Alarm System,notice of permit required for elevator modernation involving removal of life safety systems/fire alarm systems,N,N,Elevator,,,,,,,,,,,,,
L0189,http://www.nclabor.com/elevator/Memos/Software_Update_Permitting.pdf,"Tue, 07 Feb 2017 19:27:04 GMT",Notice - Permit Requirement for Software Updates,notice regarding permitting for software updates of elevators,N,N,Elevator,,,,,,,,,,,,,
L0183,http://www.nclabor.com/elevator/Memos/Required_Reporting.pdf,"Fri, 08 Apr 2016 18:50:53 GMT",Notice - Required Reporting of Damaed Elevator Equipment,notice of required reporting of damaged elevator equipment,N,N,Elevator,,,,,,,,,,,,,
L0167,http://www.nclabor.com/elevator/Memos/Elevator_Companies_Electrical_Licenses.pdf,"Wed, 01 Dec 2010 20:22:28 GMT",Notice - Requirement of Electrical License,Notice of requirement of electrical license for companies doing any elevator related work ,N,N,Elevator,,,,,,,,,,,,,
L0191,http://www.nclabor.com/elevator/Memos/SuspensionMemo01_20_16.pdf,"Wed, 20 Jan 2016 19:52:27 GMT",Notice - Requirements for Replacing Suspension Means,notice of requirements for replacing suspension means of elevators,N,N,Elevator,,,,,,,,,,,,,
L0176,http://www.nclabor.com/elevator/Memos/Lift_Inspection_Req.pdf,"Tue, 28 Mar 2017 20:19:36 GMT",Notice - Scheduling Tramway Inspections,Tramway/Funicular inspection scheduing requirements effective 2017,N,N,Elevator,,,,,,,,,,,,,
L0187,http://www.nclabor.com/elevator/Memos/Single_Bottom_Jacks.pdf,"Mon, 24 Apr 2017 21:54:25 GMT",Notice - Single Bottom Jack Testing Requirements,single bottom jack testing requirements,N,N,Elevator,,,,,,,,,,,,,
L0188,http://www.nclabor.com/elevator/Memos/Soft_Starts.pdf,"Tue, 04 Apr 2017 00:55:48 GMT",Notice - Soft Starts,soft start testing and inspection requirements,N,N,Elevator,,,,,,,,,,,,,
L0166,http://www.nclabor.com/elevator/Memos/Elevator_Co_phone_bundles.pdf,"Tue, 27 Jan 2015 19:28:40 GMT",Notice - Telephone Bundles and Elevators,Notice of compatability reuirement regarding telephone bundles ,N,N,Elevator,,,,,,,,,,,,,
L0387,http://www.nclabor.com/osha/compliance/complaints/form.pdf,"Fri, 21 Aug 2009 12:48:24 GMT",Notice of Alleged Safety or Health Hazards,Complaint Form,N,N,OSH,Forms,,,,,,,,,,,,
L0786,http://www.nclabor.com/posters/English/Migrant%20and%20Seasonal%20Agricultural%20Workers%20-%20English%20and%20Spanish.pdf|http://www.nclabor.com/posters/Spanish/Migrant%20and%20Seasonal%20Agricultural%20Workers%20-%20English%20and%20Spanish.pdf,"Wed, 22 Mar 2006 16:47:07 GMT",Notice to Migrant and Seasonal Agricultural Workers,This poster contains required information on the Migrant and Seasonal Agricultural Workers Protection Act.  It is available in English and Spanish.,N,N,OSH,Publications,Posters,,,,,,,,,,,
L0121,http://www.nclabor.com/elevator/Memos/A17.1_Code.pdf,"Mon, 21 Nov 2016 18:35:22 GMT",Notification of Effective New Code - 2016 A17.1,notoification,N,N,Elevator,,,,,,,,,,,,,
L0199,http://www.nclabor.com/elevator/online_forms/amusemt_notification_sale.pdf,"Mon, 23 Nov 2009 19:37:12 GMT",Notification of Sale or Purchase of Amusement Device Form,Form for amusement companies to notify NCDOL of sale or purchase of device,N,N,Elevator,,,,,,,,,,,,,
L0630,http://www.nclabor.com/osha/etta/outreach/External_Course_Catalog.pdf,"Tue, 10 May 2016 23:16:28 GMT",Occupationa Safety and Health Divison Training Course Catalog,,N,N,OSH,Manuals,,,,,,,,,,,,
L0588,http://www.nclabor.com/osha/etta/indguide/ig108.pdf,"Fri, 14 Aug 2015 00:06:14 GMT",Occupational Safety and Health Standards for Agriculture Industry Guide 108,"This industry guide contains the occupational safety and health standards for agriculture, including recordkeeping standards and reporting requirements, as well as general industry standards applicable in agriculture.",N,N,OSH,Publications,OSH Industry Guides,,,,,,,,,,,
L0708,http://www.nclabor.com/osha/PublicSN/SN64A.pdf,"Wed, 06 Sep 2006 17:14:30 GMT",Oleoresin Capsicum (OC) or pepper spray.,,N,N,OSH,OSH Enforcement Procedures,,Standards Notice,,,,,,,,,,
L0619,http://www.nclabor.com/osha/etta/indguide/ig50.pdf,"Fri, 13 Feb 2015 03:19:03 GMT","OSHA Agriculture Standards Requiring Programs, Inspections, Procedures, Records and/or Training Industry Guide 50",,N,N,OSH,Publications,OSH Industry Guides,,,,,,,,,,,
L0616,http://www.nclabor.com/osha/etta/indguide/ig48.pdf,"Mon, 05 Oct 2015 17:39:38 GMT","OSHA Contruction Industry Standards Requiring Programs, Inspections, Procedures, Records and/or Training Industry Guide 48",,N,N,OSH,Publications,OSH Industry Guides,,,,,,,,,,,
L0581,http://www.nclabor.com/osha/etta/forms/2004forms.pdf|http://www.nclabor.com/osha/etta/publications/2004forms.xls,"Tue, 31 Jan 2006 10:00:00 GMT",OSHA Form 300,OSHA Form 300,N,N,OSH,Forms,,,,,,,,,,,,
L0658,http://www.nclabor.com/osha/etta/publications/2004packet.pdf,"Tue, 14 Oct 2003 01:59:22 GMT",OSHA Forms for Recording Work-Related Injuries and Illnesses,,N,N,OSH,OSH Presentations,,,,,,,,,,,,
L0476,http://www.nclabor.com/osha/etta/brochures/br1300.pdf,"Wed, 01 Mar 2017 20:45:32 GMT",OSHA General Industry Standards Brochure,Brochure with an overview of General Industry Standards referenced in Construction,N,N,OSH,Publications,Brochures,,,,,,,,,,,
L0617,http://www.nclabor.com/osha/etta/indguide/ig49.pdf,"Wed, 16 Sep 2015 22:23:29 GMT","Osha General Industry Standards Requiring Programs, Inspections, Procedures, Records and/or Training Industry Guide 49",,N,N,OSH,Publications,OSH Industry Guides,,,,,,,,,,,
L0623,http://www.nclabor.com/osha/etta/indguide/ig54.pdf,"Thu, 05 Feb 2015 18:45:44 GMT","OSHA Marine Terminal Standards Requiring Programs, Inspections, Procedures, Records and/or Training Industry Guide 54",,N,N,OSH,Publications,OSH Industry Guides,,,,,,,,,,,
L0622,http://www.nclabor.com/osha/etta/indguide/ig53.pdf,"Thu, 05 Feb 2015 18:45:44 GMT","OSHA Shipyard Employment Standards Requiring Programs, Inspections, Procedures, Records and/or Training Industry Guide 53",,N,N,OSH,Publications,OSH Industry Guides,,,,,,,,,,,
L0559,http://www.nclabor.com/osha/etta/exampleprograms/Overhead_and_Gantry_Crane_Inspections.doc,"Thu, 10 Jul 2014 20:36:55 GMT",Overhead and Gantry Crane Inspection Records,This document contains a customizable example checklist for inspections of overhead and gantry cranes.,N,N,OSH,OSH Example Programs,,,,,,,,,,,,
L0045,http://www.nclabor.com/boiler/forms/change_of_ownership.pdf,"Thu, 19 May 2016 21:19:54 GMT",Ownership Change of Boiler or Pressure Vessel Certificate,Change of ownership of a boiler or pressure vessel,N,N,Boiler,Forms,,,,,,,,,,,,
L0253,http://www.nclabor.com/mq/mineplan.pdf,"Thu, 23 Mar 2006 19:09:19 GMT",Part 46 Miner Training Program,Part 46 Miner Training Program guidelines,N,N,Mine and Quarry,Procedures,,,,,,,,,,,,
L0468,http://www.nclabor.com/osha/etta/Alliances/Partnership_Application.pdf,"Fri, 17 Mar 2017 23:34:48 GMT",Partnership Application,Partnership Application,N,N,OSH,Forms,,,,,,,,,,,,
L0203,http://www.nclabor.com/elevator/online_forms/IV151908.pdf,"Tue, 16 Feb 2010 15:30:29 GMT",Permit Application,"application for permit to install, alter, or repair equipment",N,N,Elevator,,,,,,,,,,,,,
L0204,http://www.nclabor.com/elevator/online_forms/permit_extension_form.pdf,"Mon, 22 Feb 2010 16:00:58 GMT",Permit Extension Application,application for extension of already issued permit,N,N,Elevator,,,,,,,,,,,,,
L0561,http://www.nclabor.com/osha/etta/exampleprograms/PPE_Hazardous_Analysis_and_Training_(long_ver).doc|http://www.nclabor.com/osha/etta/exampleprograms/PPE_Hazardous_Analysis_and_Training_(short_ver).doc,"Thu, 10 Jul 2014 21:24:19 GMT",Personal Protective Equipment (PPE) Hazard Analysis and Training,These documents contain customizable programs and certifications for personal protective equipment (PPE) hazard analysis and training.  They are available in a long and short version.,N,N,OSH,OSH Example Programs,,,,,,,,,,,,
L0054,http://www.nclabor.com/boiler/policy_notices/IB_05_001.pdf,"Mon, 03 Oct 2005 12:50:40 GMT",Policy Notice: Application of Code Cases,Policy Notice: Application of Code Cases,N,N,Boiler,Boiler Policy Notices,,,,,,,,,,,,
L0064,http://www.nclabor.com/boiler/policy_notices/IB_15.001.pdf,"Mon, 27 Jul 2015 18:26:49 GMT",Policy Notice: Electronically Fired Hot Oil/Organic Fluid Vaporizers,Policy Notice: Electronically Fired Hot Oil/Organic Fluid Vaporizers,N,N,Boiler,Boiler Policy Notices,,,,,,,,,,,,
L0061,http://www.nclabor.com/boiler/policy_notices/IB_10_001.pdf,"Thu, 14 Jan 2010 19:12:27 GMT",Policy Notice: Extended Pressure Equipment Operating Certificates ,Policy Notice: Extended Pressure Equipment Operating Certificates ,N,N,Boiler,Boiler Policy Notices,,,,,,,,,,,,
L0059,http://www.nclabor.com/boiler/policy_notices/IB_06_001.pdf,"Wed, 10 May 2006 12:23:36 GMT",Policy Notice: Filing of R1 and R2 Reports,Policy Notice: Filing of R1 and R2 Reports,N,N,Boiler,Boiler Policy Notices,,,,,,,,,,,,
L0057,http://www.nclabor.com/boiler/policy_notices/IB_05_004.pdf,"Mon, 03 Oct 2005 12:50:49 GMT",Policy Notice: High Limit Controls,Policy Notice: High Limit Controls,N,N,Boiler,Boiler Policy Notices,,,,,,,,,,,,
L0067,http://www.nclabor.com/boiler/policy_notices/IB-11-001.pdf,"Tue, 29 Mar 2011 15:14:46 GMT",Policy Notice: Inspection of Federal Equipment,Policy Notice: Inspection of Federal Equipment,N,N,Boiler,Boiler Policy Notices,,,,,,,,,,,,
L0058,http://www.nclabor.com/boiler/policy_notices/IB_05_005.pdf,"Fri, 07 Oct 2005 14:21:59 GMT",Policy Notice: Inspection Priorities,Policy Notice: Inspection Priorities,N,N,Boiler,Boiler Policy Notices,,,,,,,,,,,,
L0055,http://www.nclabor.com/boiler/policy_notices/IB_05_002.pdf,"Mon, 03 Oct 2005 12:50:45 GMT","Policy Notice: LWCO on Hot Water Heating Boilers, Hot Water Supply Boilers and HotWater Heaters (HLW)","Policy Notice: LWCO on Hot Water Heating Boilers, Hot Water Supply Boilers and HotWater Heaters (HLW)",N,N,Boiler,Boiler Policy Notices,,,,,,,,,,,,
L0062,http://www.nclabor.com/boiler/policy_notices/IB_13_001.pdf,"Wed, 24 Jul 2013 17:52:28 GMT",Policy Notice: Make Up Water Connection,Policy Notice: Make Up Water Connection,N,N,Boiler,Boiler Policy Notices,,,,,,,,,,,,
L0063,http://www.nclabor.com/boiler/policy_notices/IB_14_001.pdf,"Fri, 28 Feb 2014 02:53:58 GMT",Policy Notice: Pool Heaters,Policy Notice: Pool Heaters,N,N,Boiler,Boiler Policy Notices,,,,,,,,,,,,
L0065,http://www.nclabor.com/boiler/policy_notices/IB_15.002.pdf,"Thu, 30 Jul 2015 16:54:38 GMT",Policy Notice: Potable Hot Water Storage Vessels,Policy Notice: Potable Hot Water Storage Vessels,N,N,Boiler,Boiler Policy Notices,,,,,,,,,,,,
L0056,http://www.nclabor.com/boiler/policy_notices/IB_05_003.pdf,"Mon, 03 Oct 2005 12:50:45 GMT",Policy Notice: Representative Mill Test Reports,Policy Notice: Representative Mill Test Reports,N,N,Boiler,Boiler Policy Notices,,,,,,,,,,,,
L0066,http://www.nclabor.com/boiler/policy_notices/IB_17.001.pdf,"Mon, 13 Mar 2017 22:25:57 GMT",Policy Notice: Tube Replacement and Plugging in Firetube Boilers,Policy Notice: Tube Replacement and Plugging in Firetube Boilers,N,N,Boiler,Boiler Policy Notices,,,,,,,,,,,,
L0060,http://www.nclabor.com/boiler/policy_notices/IB_08_001.pdf,"Thu, 05 Mar 2009 19:51:31 GMT",Policy Notice: VR Adjustment and Tagging ,Policy Notice: VR Adjustment and Tagging ,N,N,Boiler,Boiler Policy Notices,,,,,,,,,,,,
L0631,http://www.nclabor.com/osha/etta/presentations/Concrete_ci.pptx,"Fri, 16 Dec 2016 00:51:00 GMT",Powerpoint Concrete and Masonry in Construction,,N,N,OSH,OSH Presentations,,,,,,,,,,,,
L0633,http://www.nclabor.com/osha/etta/presentations/CSE_gi.pptx,"Fri, 26 Aug 2016 21:20:37 GMT",Powerpoint Confined Spaces,,N,N,OSH,OSH Presentations,,,,,,,,,,,,
L0632,http://www.nclabor.com/osha/etta/presentations/CSE_CI.pptx,"Mon, 01 Aug 2016 22:35:47 GMT",Powerpoint Confined Spaces in Construction ,,N,N,OSH,OSH Presentations,,,,,,,,,,,,
L0639,http://www.nclabor.com/osha/etta/presentations/LOTO.pptx,"Mon, 01 Aug 2016 22:36:40 GMT",Powerpoint Control of Hazardous Energy (Lockout/Tagout),,N,N,OSH,OSH Presentations,,,,,,,,,,,,
L0634,http://www.nclabor.com/osha/etta/presentations/ergo.pptx,"Fri, 09 Sep 2016 23:04:38 GMT",Powerpoint Ergonomics Awareness,,N,N,OSH,OSH Presentations,,,,,,,,,,,,
L0635,http://www.nclabor.com/osha/etta/presentations/falls_ci.pptx,"Thu, 29 Dec 2016 18:48:12 GMT",Powerpoint Fall Protection in Construction,,N,N,OSH,OSH Presentations,,,,,,,,,,,,
L0637,http://www.nclabor.com/osha/etta/presentations/hazcom.pptx,"Fri, 30 Sep 2016 22:19:30 GMT",Powerpoint Hazard Communication ,,N,N,OSH,OSH Presentations,,,,,,,,,,,,
L0638,http://www.nclabor.com/osha/etta/presentations/HeatStress.pptx,"Mon, 01 Aug 2016 22:35:48 GMT",Powerpoint Heat Stress,,N,N,OSH,OSH Presentations,,,,,,,,,,,,
L0640,http://www.nclabor.com/osha/etta/presentations/MachineGuarding_gi.pptx,"Fri, 26 Aug 2016 21:20:38 GMT",Powerpoint Machinery and Machine Guarding ,,N,N,OSH,OSH Presentations,,,,,,,,,,,,
L0642,http://www.nclabor.com/osha/etta/presentations/MatlsHand_gi.pptx,"Fri, 26 Aug 2016 21:18:30 GMT",Powerpoint Materials Handling and Storage ,,N,N,OSH,OSH Presentations,,,,,,,,,,,,
L0641,http://www.nclabor.com/osha/etta/presentations/MatlsHand_ci.pptx,"Fri, 16 Dec 2016 00:51:00 GMT","Powerpoint Materials Handling, Storage, Use and Disposal",,N,N,OSH,OSH Presentations,,,,,,,,,,,,
L0649,http://www.nclabor.com/osha/etta/presentations/TB.pptx,"Fri, 26 Aug 2016 21:18:30 GMT",Powerpoint Occupational Exposure to Tuberculosis ,,N,N,OSH,OSH Presentations,,,,,,,,,,,,
L0644,http://www.nclabor.com/osha/etta/presentations/PPE_gi.pptx,"Wed, 29 Mar 2017 00:49:40 GMT",Powerpoint Personal Protective Equipment in General Industry,,N,N,OSH,OSH Presentations,,,,,,,,,,,,
L0643,http://www.nclabor.com/osha/etta/presentations/PPE_ci.pptx,"Wed, 31 Aug 2016 16:59:51 GMT",Powerpoint Personal Protective Equipment in the Construction Industry,,N,N,OSH,OSH Presentations,,,,,,,,,,,,
L0645,http://www.nclabor.com/osha/etta/presentations/Recordkeeping.pptx,"Mon, 01 Aug 2016 22:36:40 GMT",Powerpoint Recordkeeping and Reporting ,,N,N,OSH,OSH Presentations,,,,,,,,,,,,
L0647,http://www.nclabor.com/osha/etta/presentations/Silica_ci.pptx,"Wed, 29 Mar 2017 00:49:41 GMT",Powerpoint Respirable Crystalline Silica,,N,N,OSH,OSH Presentations,,,,,,,,,,,,
L0646,http://www.nclabor.com/osha/etta/presentations/Scaffolds.pptx,"Mon, 01 Aug 2016 22:36:40 GMT",Powerpoint Scaffolds,,N,N,OSH,OSH Presentations,,,,,,,,,,,,
L0648,http://www.nclabor.com/osha/etta/presentations/StairwaysLadders_CI.pptx,"Mon, 28 Nov 2016 18:56:38 GMT",Powerpoint Stairways and Ladders,,N,N,OSH,OSH Presentations,,,,,,,,,,,,
L0636,http://www.nclabor.com/osha/etta/presentations/HandTool_ci.pptx,"Fri, 26 Aug 2016 21:20:38 GMT",Powerpoint Tools-Hand and Power,,N,N,OSH,OSH Presentations,,,,,,,,,,,,
L0651,http://www.nclabor.com/osha/etta/presentations/Top10_2015CI.pptx,"Mon, 01 Aug 2016 22:35:47 GMT",Powerpoint Top 10 Most Frequently Cited Serious Violations in FFY 2015 Construction ,,N,N,OSH,OSH Presentations,,,,,,,,,,,,
L0650,http://www.nclabor.com/osha/etta/presentations/Top10_2015_gi.pptx,"Fri, 26 Aug 2016 21:22:37 GMT",Powerpoint Top 10 Most Frequently Cited Serious Violations in FFY 2015 General Industry,,N,N,OSH,OSH Presentations,,,,,,,,,,,,
L0652,http://www.nclabor.com/osha/etta/presentations/toxic_hazardous_substances.pptx,"Fri, 26 Aug 2016 17:07:34 GMT",Powerpoint Toxic and Hazardous Substances,,N,N,OSH,OSH Presentations,,,,,,,,,,,,
L0653,http://www.nclabor.com/osha/etta/presentations/walkwork_gi.pptx,"Fri, 26 Aug 2016 21:22:37 GMT",Powerpoint Walking- Working Surfaces,,N,N,OSH,OSH Presentations,,,,,,,,,,,,
L0654,http://www.nclabor.com/osha/etta/presentations/WeldingBrazing_gi.pptx|http://www.nclabor.com/osha/etta/presentations/WeldingCutting_ci.pptx,"Fri, 16 Dec 2016 00:51:00 GMT",Powerpoint Welding and Cutting,,N,N,OSH,OSH Presentations,,,,,,,,,,,,
L0656,http://www.nclabor.com/osha/etta/presentations/Workzone%20Safety_ci.pptx,"Fri, 26 Aug 2016 21:18:30 GMT",Powerpoint Work Zone Safety,,N,N,OSH,OSH Presentations,,,,,,,,,,,,
L0019,http://www.nclabor.com/ash/publications/1912.pdf,"Wed, 12 Mar 2014 23:22:10 GMT",Procedure to Determine Adequate Hot Water for Showers in Temporary Labor Camps,Form to determine adequate hot water for showers in temporary labor camps,N,N,ASH,OSH Example Programs,,,,,,,,,,,,
L0087,http://www.nclabor.com/dol_statistics/psim/08_09_Comp.pdf,"Wed, 13 Oct 2010 00:37:42 GMT",Program Statistics October 2008September 2009,Program Statistics October 2008September 2010,N,N,OSH ,Reports,,,,,,,,,,,,
L0088,http://www.nclabor.com/dol_statistics/psim/09_10_Comp.pdf,"Wed, 24 Oct 2012 01:16:51 GMT",Program Statistics October 2009September 2010,Program Statistics October 2009September 2011,N,N,OSH ,Reports,,,,,,,,,,,,
L0089,http://www.nclabor.com/dol_statistics/psim/10_11_Comp.pdf,"Fri, 04 Jan 2013 17:43:57 GMT",Program Statistics October 2010September 2011,Program Statistics October 2010September 2012,N,N,OSH ,Reports,,,,,,,,,,,,
L0090,http://www.nclabor.com/dol_statistics/psim/11_12_Stats.pdf,"Wed, 29 Jul 2015 19:32:06 GMT",Program Statistics October 2011September 2012,Program Statistics October 2011September 2013,N,N,OSH ,Reports,,,,,,,,,,,,
L0091,http://www.nclabor.com/dol_statistics/psim/12_13_Stats.pdf,"Mon, 28 Sep 2015 22:41:48 GMT",Program Statistics October 2012September 2013,Program Statistics October 2012September 2014,N,N,OSH ,Reports,,,,,,,,,,,,
L0092,http://www.nclabor.com/dol_statistics/psim/13_14_Stats.pdf,"Mon, 16 Nov 2015 18:00:46 GMT",Program Statistics October 2013September 2014,Program Statistics October 2013September 2015,N,N,OSH ,Reports,,,,,,,,,,,,
L0093,http://www.nclabor.com/dol_statistics/psim/14_15_Stats.pdf,"Thu, 18 Aug 2016 22:57:26 GMT",Program Statistics October 2013September 2015,Program Statistics October 2013September 2016,N,N,OSH ,Reports,,,,,,,,,,,,
L0718,http://www.nclabor.com/osha/PublicSN/SN75.pdf,"Wed, 09 Oct 2013 20:00:10 GMT",Public Sector Establishments for Recordkeeping,,N,N,OSH,OSH Enforcement Procedures,,Standards Notice,,,,,,,,,,
L0416,http://www.nclabor.com/osha/compliance/publicopn/opn128r.pdf,"Fri, 23 Sep 2016 19:50:21 GMT",Public Sector Surveys and Inspections,Public Sector Surveys and Inspections,N,N,OSH,OSH Enforcement Procedures,,Operational Procedure Notice,,,,,,,,,,
L0480,http://www.nclabor.com/osha/etta/brochures/br1900.pdf,"Thu, 20 Aug 2015 19:35:56 GMT",Quick Reference Guide to the NC Wage and Hour Act Brochure,Brochure with an overview of NC Wage and Hour Act,N,N,OSH,Publications,Brochures,,,,,,,,,,,
L0435,http://www.nclabor.com/osha/consult/Consultation_Request_Form.pdf,"Tue, 03 Nov 2015 20:19:07 GMT",Request for Free Safety and Health Consultation ,Request for Free Safety and Health Consultation ,N,N,OSH,Forms,,,,,,,,,,,,
L0205,http://www.nclabor.com/elevator/online_forms/site_visit_request_form.pdf,"Tue, 26 May 2009 16:47:54 GMT",Request for Pre-Inspection Site Visit,request for pre-inspection site visit by NCDOL inspector,N,N,Elevator,,,,,,,,,,,,,
L0716,http://www.nclabor.com/osha/PublicSN/SN73A.pdf,"Wed, 01 Jun 2011 20:19:20 GMT","Requirements for High-visibility Apparel and enforcement of the Federal Highway Administration (FHWA) regulation, 23 CFR 634.",,N,N,OSH,OSH Enforcement Procedures,,Standards Notice,,,,,,,,,,
L0691,http://www.nclabor.com/osha/PublicSN/SN10.pdf,"Wed, 06 Sep 2006 17:14:04 GMT",Requirements for Portable Lamps in Vehicle Service Garages,,N,N,OSH,OSH Enforcement Procedures,,Standards Notice,,,,,,,,,,
L0707,http://www.nclabor.com/osha/PublicSN/SN63A.pdf,"Wed, 06 Sep 2006 17:14:28 GMT",Requirements for workers who are actively conducting operations in atmospheres that are Immediately Dangerous to Life and Health (IDLH).,,N,N,OSH,OSH Enforcement Procedures,,Standards Notice,,,,,,,,,,
